Number of keys,Algorithm,Trial,Number of bits,Construction time (s),Serial evaluation time (s),Parallel evaluation time (s)
10000000,AceHash;2;0.75;1;0;0;0,0,40000000,1.16319,0.104727,0.0106345
10000000,AceHash;2;0.75;1;0;0;0,1,40000000,1.16274,0.104626,0.0106129
10000000,AceHash;2;0.75;1;0;0;0,2,40000000,1.16234,0.104588,0.0105952
10000000,AceHash;2;0.75;1;0;0;0,3,40000000,1.16263,0.104907,0.0106231
10000000,AceHash;2;0.75;1;0;0;0,4,40000000,1.1665,0.104704,0.0106577
10000000,AceHash;2;0.75;1;1;0;0,0,40000000,0.675107,0.117783,0.0119723
10000000,AceHash;2;0.75;1;1;0;0,1,40000000,0.675203,0.118334,0.0119762
10000000,AceHash;2;0.75;1;1;0;0,2,40000000,0.675326,0.11782,0.0119494
10000000,AceHash;2;0.75;1;1;0;0,3,40000000,0.675264,0.11823,0.0119628
10000000,AceHash;2;0.75;1;1;0;0,4,40000000,0.675749,0.117959,0.0119433
10000000,AceHash;2;0.75;1;1;1;0,0,40000000,0.676215,0.0818269,0.00823055
10000000,AceHash;2;0.75;1;1;1;0,1,40000000,0.678899,0.0817672,0.00821762
10000000,AceHash;2;0.75;1;1;1;0,2,40000000,0.675431,0.0818445,0.00823368
10000000,AceHash;2;0.75;1;1;1;0,3,40000000,0.67614,0.08182,0.0082287
10000000,AceHash;2;0.75;1;1;1;0,4,40000000,0.675406,0.0818931,0.00859477
10000000,AceHash;2;0.75;1;1;1;1,0,40000000,0.151166,0.0818297,0.00823376
10000000,AceHash;2;0.75;1;1;1;1,1,40000000,0.152661,0.0817834,0.00825471
10000000,AceHash;2;0.75;1;1;1;1,2,40000000,0.150729,0.0817506,0.00821801
10000000,AceHash;2;0.75;1;1;1;1,3,40000000,0.151082,0.0816812,0.00823005
10000000,AceHash;2;0.75;1;1;1;1,4,40000000,0.151001,0.0817577,0.00823479
10000000,AceHash;2;0.8;0;0;0;0,0,40000000,3.08914,0.104768,0.0109168
10000000,AceHash;2;0.8;0;0;0;0,1,40000000,3.09233,0.104823,0.0108684
